"linkName","link","price","currencyKM","status","city","size","numOfRooms","equipped","date","views","id","pricePerSquareMeter","numOfRooms2","cityShort","dateNew","count","cityCat","lat","long","country","capital","population","population_proper"
"Stan Breza","https://www.olx.ba/artikal/49330952/stan-breza/",30000,TRUE,"korišteno","Breza",35,"Jednosoban (1)","Nenamješten","19.08.2022.",3380,3022,857.1428571428571,"1","Breza","2022-08-19",7,"Others",44.021,18.261,"Bosnia And Herzegovina","minor",14564,14564
"Stan Novi Travnik","https://www.olx.ba/artikal/50909259/stan-novi-travnik/",57000,TRUE,"korišteno","Novi Travnik",66,"Trosoban (3)","Nenamješten","11.12.2022.",1903,806,863.6363636363636,"3","Novi Travnik","2022-12-11",7,"Others",44.1714,17.6581,"Bosnia And Herzegovina","minor",NA,NA
"Stan Breza","https://www.olx.ba/artikal/43848058/stan-breza/",46900,TRUE,"korišteno","Breza",54,"Dvosoban (2)","Namješten","05.07.2021.",7497,3093,868.5185185185185,"2","Breza","2021-07-05",7,"Others",44.021,18.261,"Bosnia And Herzegovina","minor",14564,14564
"Stan Ilidža","https://www.olx.ba/artikal/49880510/stan-ilidza/",70000,TRUE,"korišteno","Ilidža",80,"Trosoban (3)","Namješten","29.09.2022.",7391,2835,875,"3","Ilidža","2022-09-29",224,"Big Cities",43.8331,18.3039,"Bosnia And Herzegovina","minor",NA,NA
"Trosoban etažni stan Brčko - 74 m2","https://www.olx.ba/artikal/49543556/trosoban-etazni-stan-brcko-74-m2/",65000,TRUE,"korišteno","Brčko",74,"Trosoban (3)","Nenamješten","05.09.2022.",1549,2968,878.3783783783783,"3","Brčko","2022-09-05",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan + poslovni prostor","https://www.olx.ba/artikal/47462124/stan-plus-poslovni-prostor/",899999,TRUE,"korišteno","Grad Mostar",1000,"Petosoban i više","Namješten","29.03.2022.",16473,45,899.999,"5+","Grad Mostar","2022-03-29",44,"Big Cities",43.3494,17.8125,"Bosnia And Herzegovina","minor",163067,104518
"Stan u Janji 62/21","https://www.olx.ba/artikal/47058374/stan-u-janji-62-21/",45000,TRUE,"korišteno","Bijeljina",50,"Dvosoban (2)","Namješten","01.03.2022.",786,1038,900,"2","Bijeljina","2022-03-01",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Dvosoban stan Gacko","https://www.olx.ba/artikal/50705980/dvosoban-stan-gacko/",54000,TRUE,"korišteno","Gacko",60,"Dvosoban (2)","Nenamješten","27.11.2022.",826,2368,900,"2","Gacko","2022-11-27",3,"Others",43.1667,18.5333,"Bosnia And Herzegovina","minor",NA,NA
"Stan brod","https://www.olx.ba/artikal/50002796/stan-brod/",60000,TRUE,"korišteno","Brod",66,"Dvosoban (2)","Polunamješten","09.10.2022.",1919,1962,909.0909090909091,"2","Brod","2022-10-09",8,"Others",45.1333,17.9833,"Bosnia And Herzegovina","minor",NA,NA
"Četvorosoban stan površine 88 m2 ID:1483/ZP","https://www.olx.ba/artikal/49660810/cetvorosoban-stan-povrsine-88-m2-id1483-zp/",80000,TRUE,"korišteno","Brčko",88,"Četverosoban (4)","Polunamješten","14.09.2022.",832,2126,909.0909090909091,"4","Brčko","2022-09-14",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
