price,status,city,size,equipped,pricePerSquareMeter,cityShort,count,cityCat,capital,population,year,month,numOfRooms
68900,0,Bijeljina,53,2,1300,Bijeljina,90,Big Cities,minor,107715,2017,4,2
102700,0,Doboj,79,2,1300,Doboj,22,Others,minor,71441,2017,6,3
97500,0,Bijeljina,75,0,1300,Bijeljina,90,Big Cities,minor,107715,2022,3,3
68900,0,Bijeljina,53,2,1300,Bijeljina,90,Big Cities,minor,107715,2017,5,1
65000,0,Bijeljina,50,0,1300,Bijeljina,90,Big Cities,minor,107715,2022,11,2
65000,0,Kljuc,50,2,1300,Kljuc,4,Others,minor,16744,2022,9,1
80600,0,Tesanj,62,1,1300,Tesanj,8,Others,minor,43063,2022,10,3
65000,0,Grad Mostar,50,2,1300,Grad Mostar,44,Big Cities,minor,105797,2022,6,1
84500,0,Brcko,65,2,1300,Brcko,199,Big Cities,admin,83516,2019,10,1
95000,0,Grad Mostar,73,0,1301.37,Grad Mostar,44,Big Cities,minor,105797,2019,4,2
85000,0,Brcko,65,2,1307.69,Brcko,199,Big Cities,admin,83516,2022,7,2
72000,0,Doboj,55,2,1309.09,Doboj,22,Others,minor,71441,2017,6,2
82000,0,Kozarska Dubica,62.5,2,1312,Kozarska Dubica,4,Others,minor,21524,2021,7,2
92000,0,Brcko,70,0,1314.29,Brcko,199,Big Cities,admin,83516,2022,4,2
96000,0,Bijeljina,73,1,1315.07,Bijeljina,90,Big Cities,minor,107715,2022,11,3
125000,0,Tuzla,95,0,1315.79,Tuzla,199,Big Cities,minor,110979,2022,9,3
112000,0,Zenica,85,0,1317.65,Zenica,70,Big Cities,minor,110663,2021,12,3
62000,0,Travnik,47,2,1319.15,Travnik,20,Others,minor,53482,2022,11,1
85000,0,Brcko,64,2,1328.12,Brcko,199,Big Cities,admin,83516,2022,8,2
85000,0,Zepce,64,0,1328.12,Zepce,2,Others,minor,30219,2020,9,2
80000,0,Pale,60,2,1333.33,Pale,15,Others,minor,20909,2022,10,2
63000,0,Brcko,47,2,1340.43,Brcko,199,Big Cities,admin,83516,2022,8,2
135000,0,Modrica,100.7,2,1340.62,Modrica,8,Others,minor,25720,2019,4,4
82000,0,Brcko,61,0,1344.26,Brcko,199,Big Cities,admin,83516,2016,12,2
148000,0,Brcko,110,2,1345.45,Brcko,199,Big Cities,admin,83516,2022,11,3
148000,0,Brcko,110,2,1345.45,Brcko,199,Big Cities,admin,83516,2022,12,3
105000,0,Tuzla,78,0,1346.15,Tuzla,199,Big Cities,minor,110979,2022,12,3
85000,0,Travnik,63,2,1349.21,Travnik,20,Others,minor,53482,2022,12,2
80000,0,Grad Mostar,59,0,1355.93,Grad Mostar,44,Big Cities,minor,105797,2021,7,3
57000,0,Brcko,42,2,1357.14,Brcko,199,Big Cities,admin,83516,2022,12,1
95000,0,Brcko,70,2,1357.14,Brcko,199,Big Cities,admin,83516,2018,5,2
72000,0,Brcko,53,2,1358.49,Brcko,199,Big Cities,admin,83516,2022,8,2
105000,0,Tuzla,77.04,1,1362.93,Tuzla,199,Big Cities,minor,110979,2022,7,3
205000,0,Stari Grad,150,0,1366.67,Sarajevo,131,Sarajevo,primary,275524,2019,8,4
82000,0,Pale,60,1,1366.67,Pale,15,Others,minor,20909,2022,4,2
89000,0,Zivinice,65,0,1369.23,Zivinice,9,Others,minor,57765,2022,10,3
85000,0,Doboj,62,0,1370.97,Doboj,22,Others,minor,71441,2021,6,2
95000,1,Brcko,69,1,1376.81,Brcko,199,Big Cities,admin,83516,2017,7,3
250000,0,Travnik,180,2,1388.89,Travnik,20,Others,minor,53482,2020,1,5
100000,0,Brcko,72,2,1388.89,Brcko,199,Big Cities,admin,83516,2019,12,2
100000,0,Brcko,72,2,1388.89,Brcko,199,Big Cities,admin,83516,2018,9,3
105000,0,Brcko,75.5,0,1390.73,Brcko,199,Big Cities,admin,83516,2021,4,3
82600,0,Brcko,59,1,1400,Brcko,199,Big Cities,admin,83516,2022,11,2
82600,0,Brcko,59,1,1400,Brcko,199,Big Cities,admin,83516,2022,11,2
53200,0,Brcko,38,1,1400,Brcko,199,Big Cities,admin,83516,2021,9,1
121800,0,Brcko,87,0,1400,Brcko,199,Big Cities,admin,83516,2021,2,3
82600,0,Brcko,59,2,1400,Brcko,199,Big Cities,admin,83516,2022,10,2
113400,0,Bijeljina,81,2,1400,Bijeljina,90,Big Cities,minor,107715,2022,8,3
121800,0,Brcko,87,0,1400,Brcko,199,Big Cities,admin,83516,2017,10,3
79800,0,Brcko,57,2,1400,Brcko,199,Big Cities,admin,83516,2022,10,2
53200,0,Brcko,38,1,1400,Brcko,199,Big Cities,admin,83516,2019,12,1
121800,0,Modrica,87,2,1400,Modrica,8,Others,minor,25720,2022,8,3
87000,0,Derventa,62,0,1403.23,Derventa,4,Others,minor,27404,2022,11,2
80000,0,Brcko,57,2,1403.51,Brcko,199,Big Cities,admin,83516,2022,10,2
90000,0,Travnik,64,0,1406.25,Travnik,20,Others,minor,53482,2020,7,2
138000,0,Grad Mostar,98,1,1408.16,Grad Mostar,44,Big Cities,minor,105797,2022,12,3
165000,0,Kiseljak,117,2,1410.26,Kiseljak,2,Others,minor,20722,2022,8,4
79000,0,Modrica,56,0,1410.71,Modrica,8,Others,minor,25720,2022,9,2
103000,0,Bijeljina,73,0,1410.96,Bijeljina,90,Big Cities,minor,107715,2022,8,3
103000,0,Brcko,73,1,1410.96,Brcko,199,Big Cities,admin,83516,2022,12,3
145000,0,Teslic,102.5,2,1414.63,Teslic,3,Others,minor,38536,2022,2,5
85000,0,Brcko,60,2,1416.67,Brcko,199,Big Cities,admin,83516,2022,10,3
85000,0,Brcko,60,1,1416.67,Brcko,199,Big Cities,admin,83516,2016,9,3
105000,0,Trebinje,74,2,1418.92,Trebinje,16,Others,minor,29198,2020,10,2
57000,0,Brcko,40,2,1425,Brcko,199,Big Cities,admin,83516,2018,5,1
80000,0,Grad Mostar,56,2,1428.57,Grad Mostar,44,Big Cities,minor,105797,2022,8,2
200000,0,Sarajevo - Centar,140,0,1428.57,Sarajevo,392,Sarajevo,primary,275524,2022,4,3
170000,0,Lukavac,119,2,1428.57,Lukavac,18,Others,minor,44520,2022,3,3
100000,0,Brcko,70,2,1428.57,Brcko,199,Big Cities,admin,83516,2022,11,3
40000,0,Brod,28,2,1428.57,Brod,8,Others,minor,16619,2022,12,1
110000,0,Bijeljina,77,1,1428.57,Bijeljina,90,Big Cities,minor,107715,2021,9,3
124900,0,Brcko,87,0,1435.63,Brcko,199,Big Cities,admin,83516,2022,6,4
115000,0,Brcko,80,2,1437.5,Brcko,199,Big Cities,admin,83516,2016,11,3
72000,0,Brcko,50,2,1440,Brcko,199,Big Cities,admin,83516,2022,9,1
49000,0,Banja Luka,34,1,1441.18,Banja Luka,421,Big Cities,admin,185042,2022,4,1
159000,0,Bijeljina,110,1,1445.45,Bijeljina,90,Big Cities,minor,107715,2022,6,4
120000,1,Brcko,83,0,1445.78,Brcko,199,Big Cities,admin,83516,2018,3,3
120000,0,Brcko,83,1,1445.78,Brcko,199,Big Cities,admin,83516,2018,12,3
94000,0,Brcko,65,2,1446.15,Brcko,199,Big Cities,admin,83516,2022,11,3
68000,0,Gorazde,47,0,1446.81,Gorazde,3,Others,minor,20897,2022,6,1
210000,0,Ilidza,145,2,1448.28,Ilidza,224,Big Cities,minor,66730,2022,7,3
98600,0,Brcko,68,0,1450,Brcko,199,Big Cities,admin,83516,2022,1,3
91350,0,Doboj,63,0,1450,Doboj,22,Others,minor,71441,2022,9,2
120000,0,Zenica,82.67,0,1451.55,Zenica,70,Big Cities,minor,110663,2017,2,3
76000,0,Brcko,52.3,2,1453.15,Brcko,199,Big Cities,admin,83516,2017,10,1
139999,1,Banja Luka,96,0,1458.32,Banja Luka,421,Big Cities,admin,185042,2022,11,3
101000,0,Bijeljina,69,0,1463.77,Bijeljina,90,Big Cities,minor,107715,2022,5,3
65000,0,Brod,44.4,2,1463.96,Brod,8,Others,minor,16619,2022,6,2
85000,0,Breza,58,1,1465.52,Breza,7,Others,minor,14168,2022,9,2
88000,0,Brcko,60,0,1466.67,Brcko,199,Big Cities,admin,83516,2022,2,2
88000,0,Breza,60,1,1466.67,Breza,7,Others,minor,14168,2022,7,2
50000,1,Brcko,34,0,1470.59,Brcko,199,Big Cities,admin,83516,2018,12,1
100000,0,Tuzla,67.94,0,1471.89,Tuzla,199,Big Cities,minor,110979,2022,12,3
59000,0,Novo Sarajevo,40,0,1475,Sarajevo,248,Sarajevo,primary,275524,2022,8,2
83000,0,Doboj,56,2,1482.14,Doboj,22,Others,minor,71441,2022,8,2
95000,0,Travnik,64,2,1484.38,Travnik,20,Others,minor,53482,2022,7,3
95000,0,Travnik,64,0,1484.38,Travnik,20,Others,minor,53482,2022,11,3
55000,1,Laktasi,37,0,1486.49,Laktasi,4,Others,minor,34966,2022,10,2
55000,1,Banja Luka,37,0,1486.49,Banja Luka,421,Big Cities,admin,185042,2022,12,2
85000,0,Siroki Brijeg,57,2,1491.23,Siroki Brijeg,1,Others,minor,28929,2022,12,1
112500,0,Brcko,75,1,1500,Brcko,199,Big Cities,admin,83516,2022,12,3
93000,0,Brcko,62,2,1500,Brcko,199,Big Cities,admin,83516,2016,5,2
141000,0,Bijeljina,94,0,1500,Bijeljina,90,Big Cities,minor,107715,2021,12,3
93000,0,Brcko,62,1,1500,Brcko,199,Big Cities,admin,83516,2022,11,2
105000,0,Lukavica,70,2,1500,Lukavica,74,Big Cities,minor,7785,2022,4,3
97200,0,Brcko,64.8,1,1500,Brcko,199,Big Cities,admin,83516,2022,12,2
60000,0,Brcko,40,0,1500,Brcko,199,Big Cities,admin,83516,2021,11,1
120000,0,Doboj,80,2,1500,Doboj,22,Others,minor,71441,2022,10,3
70500,0,Brcko,47,2,1500,Brcko,199,Big Cities,admin,83516,2022,3,1
66000,0,Bijeljina,44,2,1500,Bijeljina,90,Big Cities,minor,107715,2021,6,1
225000,0,Travnik,150,2,1500,Travnik,20,Others,minor,53482,2021,8,5
90000,0,Brcko,60,0,1500,Brcko,199,Big Cities,admin,83516,2022,6,2
97500,0,Srbac,65,0,1500,Srbac,1,Others,minor,17587,2022,9,2
100000,0,Doboj,66.5,0,1503.76,Doboj,22,Others,minor,71441,2017,4,2
95000,0,Zenica,63,1,1507.94,Zenica,70,Big Cities,minor,110663,2022,3,2
80000,0,Bijeljina,53,1,1509.43,Bijeljina,90,Big Cities,minor,107715,2022,10,3
135000,0,Gorazde,89,1,1516.85,Gorazde,3,Others,minor,20897,2019,7,4
79000,0,Doboj,52,2,1519.23,Doboj,22,Others,minor,71441,2022,10,2
67000,0,Brcko,44,2,1522.73,Brcko,199,Big Cities,admin,83516,2022,11,1
96000,0,Cazin,63,2,1523.81,Cazin,5,Others,minor,66149,2022,7,2
